Country,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population
China,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450
India,1417173173,1396387127,1322866505,1240613620,1059633675,870452165,696828385,557501301
United States,338289857,335942003,324607776,311182845,282398554,248083732,223140018,200328340
Indonesia,275501339,271857970,259091970,244016173,214072421,182159874,148177096,115228394
Pakistan,235824862,227196741,210969298,194454498,154369924,115414069,80624057,59290872
Nigeria,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264
Brazil,215313498,213196304,205188205,196353492,175873720,150706446,122288383,96369875
Bangladesh,171186372,167420951,157830000,148391139,129193327,107147651,83929765,67541860
Russia,144713314,145617329,144668389,143242599,146844839,148005704,138257420,130093010
Mexico,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306
Japan,123951692,125244761,127250933,128105431,126803861,123686321,117624196,105416839
Ethiopia,123379924,117190911,102471895,89237791,67031867,47878073,34945469,28308246
Philippines,115559009,112190977,103031365,94636700,77958223,61558898,48419546,37435586
Egypt,110990103,107465134,97723799,87252413,71371371,57214630,43748556,34781986
DR Congo,99010212,92853164,78656904,66391257,48616317,35987541,26708686,20151733
Vietnam,98186856,96648685,92191398,87411012,79001142,66912613,52968270,41928849
Iran,88550570,87290193,81790841,75373855,65544383,55793629,38520664,28449705
Turkey,85341241,84135428,79646178,73195345,64113547,54324142,44089069,35540990
Germany,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583
Thailand,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728
United Kingdom,67508936,67059474,65224364,62760039,58850043,57210442,56326328,55650166
Tanzania,65497748,61704518,52542823,45110527,34463704,26206012,19297659,13618192
France,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586
South Africa,59893885,58801927,55876504,51784921,46813266,39877570,29463549,22368306
Italy,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036
Rest of the World,2929597225,2763636222,2579057098,2397210663,2063158474,1772840429,1464345617,1196180779